国家,确诊,治愈,死亡,日期
俄罗斯,272043,63166,2537,2020-05-16
英国,236711,539,33998,2020-05-16
巴西,220291,84970,14962,2020-05-16
意大利,223885,120205,31610,2020-05-16
西班牙,230698,144783,27563,2020-05-16
秘鲁,84495,27147,2392,2020-05-16
法国,141356,59605,27425,2020-05-16
印度,85940,30153,2752,2020-05-16
荷兰,43681,291,5643,2020-05-16
